ECS ID,OEIS ID,Description,Terms
794,A052829,FAIL,"0, 1, 2, 4, 10, 25, 69, 197, 583, 1762, 5441, 17042, 54072, 173334, 560659, 1827306, 5995570, 19787135, 65643226, 218777532, 732181107"
795,A052830,Sequences of rooted Cycles,"1, 0, 2, 3, 32, 150, 1524, 12600, 147328, 1705536, 23681520, 345605040, 5654922624, 98624766240, 1870594556544, 37794037488480, 817362198512640, 18742996919324160, 455648694329309184, 11683777530785978880, 315505598702787118080"
796,A052831,FAIL,"0, 1, 2, 4, 11, 29, 91, 286, 955, 3235, 11240, 39559, 141217, 509059, 1852248, 6790372, 25062536, 93043286, 347223013, 1301777476, 4900835727"
797,A052832,FAIL,"0, 0, 2, 6, 36, 240, 2040, 20160, 231840, 3024000, 44271360, 718502400, 12813292800, 249080832000, 5243151513600, 118824010905600, 2884729655808000, 74694359900160000, 2054806272110592000, 59849389401145344000, 1840003788783992832000"
798,A025147,FAIL,"1, 0, 1, 1, 1, 2, 2, 3, 3, 5, 5, 7, 8, 10, 12, 15, 17, 21, 25, 29, 35"
799,A052833,FAIL,"0, 0, 2, 12, 72, 500, 4080, 38668, 419160, 5124708, 69831360, 1049972924, 17273719848, 308714206996, 5956836347280, 123437573728620, 2734197673727736, 64473939310567364, 1612626113517932640, 42645398700110627356, 1188880256538133537224"
800,A026905,FAIL,"0, 0, 1, 3, 6, 11, 18, 29, 44, 66, 96, 138, 194, 271, 372, 507, 683, 914, 1211, 1596, 2086"
801,A052834,FAIL,"0, 0, 2, 9, 36, 150, 673, 3262, 17006, 94827, 562594, 3535026, 23430839, 163254884, 1192059222, 9097183601, 72384727656, 599211936354, 5150665398897, 45891416030314, 423145657921378"
802,A052835,FAIL,"1, 2, 4, 16, 94, 718, 6698, 73512, 925944, 13149408, 207723792, 3611861856, 68535403440, 1409110979664, 31203828680880, 740391021216384, 18739539315968256, 503958517859488896, 14350254992824182912, 431329037106221865216, 13646963521734433991424"
803,A052836,FAIL,"0, 1, 2, 5, 16, 54, 197, 746, 2916, 11650, 47418, 195794, 818347, 3455173, 14715502, 63143438, 272721871, 1184697735, 5172610484, 22687623448, 99918182347"
804,A052837,FAIL,"0, 0, 1, 4, 10, 22, 43, 80, 141, 240, 397, 640, 1011, 1568, 2395, 3604, 5360, 7876, 11460, 16510, 23588"
805,A052838,FAIL,"0, 0, 2, 18, 158, 1510, 15962, 186270, 2385182, 33290862, 503277242, 8193803926, 142938943886, 2659770747270, 52581058479770, 1100423513438766, 24302677755662654, 564770268904566238, 13775094563926635386, 351811158081045683526, 9388492729766095155374"
806,A052839,FAIL,"1, 2, 2, 3, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19, 23, 28, 33, 39, 47, 55, 65"
807,A052840,FAIL,"0, 0, 2, 9, 56, 450, 4464, 52920, 731520, 11566800, 206035200, 4083488640, 89137843200, 2124970848000, 54929029478400, 1530259226496000, 45705137084006400, 1456873475016960000, 49362677881380864000, 1771578419804024832000, 67133626061100318720000"
808,A052841,FAIL,"1, 0, 2, 6, 38, 270, 2342, 23646, 272918, 3543630, 51123782, 811316286, 14045783798, 263429174190, 5320671485222, 115141595488926, 2657827340990678, 65185383514567950, 1692767331628422662, 46400793659664205566, 1338843898122192101558"
809,A052842,FAIL,"0, 1, 3, 23, 290, 5104, 115374, 3185972, 103946688, 3912527016, 166884627360, 7955159511672, 419106982360560, 24182042474691984, 1516563901865906880, 102717031449780063360, 7472238163167018081024, 581053884344390485898496, 48098247347589501768946560, 4222716897083957297502024960, 391908617784125878626600560640"
810,A030019,FAIL,"1, 1, 4, 29, 311, 4447, 79745, 1722681, 43578820, 1264185051, 41381702275, 1509114454597, 60681141052273, 2667370764248023, 127258109992533616, 6549338612837162225, 361680134713529977507, 21333858798449021030515, 1338681172839439064846881, 89041976162350618062483261, 6258035936941300341991881112"
811,A052843,FAIL,"1, 1, 2, 3, 6, 10, 20, 38, 79, 162, 348, 751, 1661, 3695, 8335, 18919, 43310, 99664, 230700, 536327, 1252298"
812,A052844,FAIL,"1, 2, 6, 26, 148, 1032, 8464, 79592, 842832, 9914336, 128162464, 1804852128, 27489582784, 450089665664, 7880963503872, 146913179393408, 2904309329449216, 60677563647195648, 1335634021282590208, 30891084696208976384, 748854186528315687936"
813,A052845,FAIL,"0, 0, 2, 6, 36, 240, 1920, 17640, 183120, 2116800, 26943840, 374220000, 5628934080, 91122071040, 1579034096640, 29155689763200, 571308920582400, 11838533804697600, 258608278645516800, 5938673374272038400, 143003892952893772800"
814,A052846,FAIL,"0, 0, 2, 9, 40, 215, 1446, 11893, 115844, 1302099, 16568290, 235237937, 3684998208, 63113398543, 1173013230494, 23509415868141, 505358483764732, 11597234229683147, 282970077651917658, 7314780938223880105, 199689024903394393016"
815,A052847,FAIL,"1, 0, 1, 2, 4, 6, 12, 18, 33, 52, 88, 138, 229, 354, 568, 880, 1378, 2110, 3260, 4942, 7527"
816,A052848,FAIL,"1, 0, 2, 3, 28, 125, 1146, 8827, 94200, 1007001, 12814390, 172114151, 2584755636, 41436880069, 721702509906, 13397081295795, 266105607506416, 5605474012933169, 125164378600050798, 2948082261121889983, 73122068527848758700"
817,A052849,FAIL,"0, 2, 2, 4, 12, 48, 240, 1440, 10080, 80640, 725760, 7257600, 79833600, 958003200, 12454041600, 174356582400, 2615348736000, 41845579776000, 711374856192000, 12804747411456000, 243290200817664000"
818,A052850,FAIL,"0, 2, 5, 20, 114, 864, 8280, 96480, 1325520, 20966400, 374855040, 7468070400, 163938297600, 3929729126400, 102104460057600, 2857878742118400, 85719362496768000, 2742726680838144000, 93247371837075456000, 3356802948155424768000, 127556444063199191040000"
819,A052851,FAIL,"0, 1, 3, 20, 220, 3424, 69008, 1706256, 49956240, 1689497376, 64799254752, 2778906776832, 131756614920192, 6843405231815424, 386414606189283072, 23567401521343170048, 1543994621969805135360, 108137637714495023354880, 8062825821198926369725440, 637637813223978298927656960, 53310542045467484283788021760"
820,A052852,FAIL,"0, 1, 4, 21, 136, 1045, 9276, 93289, 1047376, 12975561, 175721140, 2581284541, 40864292184, 693347907421, 12548540320876, 241253367679185, 4909234733857696, 105394372192969489, 2380337795595885156, 56410454014314490981, 1399496554158060983080"
821,A052853,FAIL,"0, 1, 2, 5, 14, 42, 138, 466, 1643, 5919, 21773, 81279, 307483, 1175352, 4534161, 17626999, 68992703, 271641249, 1075144364, 4275274867, 17071822275"
822,A052854,FAIL,"1, 1, 2, 4, 10, 26, 77, 235, 758, 2504, 8483, 29203, 102030, 360442, 1285926, 4625102, 16754302, 61067430, 223803775, 824188993, 3048383517"
823,A052855,FAIL,"1, 1, 3, 8, 24, 71, 224, 710, 2318, 7659, 25703, 87153, 298574, 1031104, 3587263, 12558652, 44214807, 156438309, 555973965, 1983817178, 7104313970"
824,A052856,FAIL,"1, 2, 4, 14, 76, 542, 4684, 47294, 545836, 7087262, 102247564, 1622632574, 28091567596, 526858348382, 10641342970444, 230283190977854, 5315654681981356, 130370767029135902, 3385534663256845324, 92801587319328411134, 2677687796244384203116"
825,A052857,FAIL,"0, 1, 2, 15, 184, 3145, 68976, 1846999, 58413440, 2130740721, 88061420800, 4066862460991, 207556068584448, 11600364266112505, 704664527894104064, 46226086991634882375, 3256882066245640093696, 245279323467051422886241, 19663271324819503706603520, 1671825824412405475979766511, 150261731081425845846179840000"
826,A052858,FAIL,"0, 0, 2, 3, 16, 65, 456, 3157, 28624, 276705, 3136240, 38531141, 528468744, 7837577761, 126588882616, 2194957583925, 40854219413536, 810192673705793, 17082845929433952, 381225135102420997, 8982308880915293080"
827,A052859,FAIL,"1, 0, 2, 6, 26, 150, 962, 6846, 54266, 471750, 4439762, 44911086, 485570186, 5581383990, 67890295202, 870493380126, 11726471352986, 165475293394470, 2439632685738482, 37491028556508366, 599285435979866666"
828,A052860,rooted Sequences of Cycles,"0, 1, 2, 9, 56, 440, 4164, 46046, 582336, 8288136, 131090880, 2280970032, 43298796672, 890441326320, 19720847692896, 467964024901200, 11844861486802944, 318549937907204352, 9070876711252816128, 272648086802525651328, 8626452694650322744320"
829,A052861,FAIL,"0, 0, 2, 15, 116, 1030, 10644, 127428, 1750944, 27325296, 479288160, 9355658400, 201405744000, 4743245520000, 121334466758400, 3350276227872000, 99309556729958400, 3145135939426252800, 105975124791053414400, 3785105790834039705600, 142835741877781112832000"
830,A052862,FAIL,"0, 0, 2, 6, 24, 130, 900, 7574, 74928, 851274, 10916700, 155919742, 2453941512, 42188446898, 786563892660, 15805750451430, 340522975054176, 7829628493247002, 191363568551328780, 4954089147107164238, 135421386530273812920"
831,A052863,FAIL,"0, 0, 2, 6, 18, 65, 295, 1652, 11032, 85353, 749203, 7347384, 79564496, 942541041, 12121319327, 168145213732, 2502276609008, 39761200642225, 671855234838915, 12028625060491336, 227451564319791336"
832,A052864,FAIL,"0, 0, 2, 12, 82, 670, 6458, 72072, 915864, 13068768, 206998032, 3604604256, 68455569840, 1408152976464, 31191374639280, 740216664633984, 18736923967232256, 503916672279712896, 14349543617967990912, 431316232358810409216, 13646720231533616327424"
833,A052865,FAIL,"0, 0, 2, 18, 166, 1720, 20168, 265776, 3900048, 63160944, 1119902112, 21588456912, 449695165104, 10068121989120, 241142216363904, 6153066311872128, 166649425520796288, 4775084999073669888, 144324648624594398976, 4589066547251186277888, 153138079309418408489472"
834,A038507,FAIL,"1, 2, 2, 3, 7, 25, 121, 721, 5041, 40321, 362881, 3628801, 39916801, 479001601, 6227020801, 87178291201, 1307674368001, 20922789888001, 355687428096001, 6402373705728001, 121645100408832001"
835,A052866,FAIL,"1, 2, 5, 19, 97, 621, 4771, 42673, 434673, 4959433, 62569891, 863989941, 12949163833, 209203422013, 3622195815603, 66881477554921, 1311357008557921, 27202303879342353, 595035842021131843, 13686018793997390173, 330130829894262294441"
836,A038156,FAIL,"0, 0, 2, 9, 40, 205, 1236, 8659, 69280, 623529, 6235300, 68588311, 823059744, 10699776685, 149796873604, 2246953104075, 35951249665216, 611171244308689, 11001082397556420, 209020565553571999, 4180411311071440000"
837,A032182,FAIL,"0, 2, 5, 23, 156, 1409, 15908, 215529, 3406770, 61542033, 1250700672, 28241802929, 701494286870, 19008349975497, 557990502346020, 17639808964667241, 597481099591875594, 21586547569205365409, 828650020968205107752, 33680822283049282596225, 1445024870317332145655646"
838,A052867,FAIL,"0, 0, 2, 12, 84, 720, 7440, 90720, 1280160, 20563200, 370863360, 7424524800, 163419379200, 3923023104000, 102011054745600, 2856483889459200, 85697132032512000, 2742350070620160000, 93240613775941632000, 3356674900681310208000, 127553889516090605568000"
839,A052868,FAIL,"1, 1, 5, 40, 449, 6556, 118507, 2561518, 64540625, 1859206600, 60309007091, 2176222795594, 86488677518905, 3754431762036892, 176771908657345835, 8973513955735900246, 488586200931213192353, 28404347922603101834512, 1756162230793603500145123, 115066212291007473788105986, 7964642350946557248878824841"
840,A052869,FAIL,"0, 1, 2, 4, 11, 29, 88, 271, 876, 2880, 9699, 33106, 114575, 400547, 1413333, 5025026, 17987892, 64769123, 234438337, 852519108, 3113091384"
841,A052870,FAIL,"1, 1, 2, 6, 15, 44, 128, 386, 1179, 3679, 11601, 37030, 119262, 387325, 1266647, 4168264, 13791565, 45856091, 153134306, 513403575, 1727395042"
842,A052871,FAIL,"0, 1, 4, 27, 268, 3585, 60846, 1255471, 30535912, 855688833, 27148954330, 962037575631, 37659124454700, 1613921425656865, 75156944627712598, 3778932799275876495, 204039148080188427856, 11774630933193827543553, 723221619404344728805170, 47108293153761016350055567, 3243490108895369802763231060"
843,A052872,FAIL,"1, 1, 3, 9, 32, 117, 460, 1850, 7680, 32467, 139631, 608280, 2679881, 11916492, 53417407, 241118245, 1095030281, 4999847240, 22938576846, 105690791104, 488860041249"
844,A052873,FAIL,"1, 1, 5, 46, 629, 11496, 263857, 7301680, 236748969, 8806142080, 369714769181, 17296339048704, 892335712777885, 50333180563864576, 3081739132775658825, 203555129140352505856, 14428195498061848405073, 1092403962489972428144640, 87990832863810814525250869, 7513086554071292292308992000, 677859124940962756951314951621"
845,A052874,FAIL,"0, 0, 2, 15, 112, 925, 8556, 88249, 1007056, 12612681, 172092340, 2541367741, 40385290584, 687120886621, 12461362029676, 239945693311185, 4888311943969696, 105038684764873489, 2373935421890157156, 56288808913905658981, 1397063652149884343080"
846,A052875,FAIL,"0, 0, 2, 12, 74, 540, 4682, 47292, 545834, 7087260, 102247562, 1622632572, 28091567594, 526858348380, 10641342970442, 230283190977852, 5315654681981354, 130370767029135900, 3385534663256845322, 92801587319328411132, 2677687796244384203114"
847,A052876,FAIL,"0, 0, 2, 18, 158, 1530, 16622, 201978, 2724878, 40492890, 657944942, 11611834938, 221291822798, 4530383962650, 99179581033262, 2312402554523898, 57211901491595918, 1497211181084718810, 41322491664778937582, 1199641517143199484858, 36545880804885460636238"
848,A052877,FAIL,"0, 2, 3, 7, 27, 151, 1083, 9367, 94587, 1091671, 14174523, 204495127, 3245265147, 56183135191, 1053716696763, 21282685940887, 460566381955707, 10631309363962711, 260741534058271803, 6771069326513690647, 185603174638656822267"
849,A052878,FAIL,"0, 2, 6, 34, 276, 2928, 38520, 606240, 11118240, 232928640, 5488922880, 143707737600, 4138613740800, 130021152307200, 4425207423436800, 162194949242726400, 6369480464675328000, 266808295408951296000, 11874724735152254976000, 559591803705456377856000, 27835577073434042744832000"
850,A052879,FAIL,"1, 1, 2, 7, 22, 81, 303, 1178, 4675, 18951, 77925, 324642, 1366718, 5806575, 24861979, 107178994, 464805955, 2026418389, 8876266930, 39045009419, 172406753611"
851,A052880,FAIL,"1, 1, 4, 26, 243, 2992, 45906, 845287, 18182926, 447797646, 12429760889, 384055045002, 13075708703910, 486430792977001, 19632714343389296, 854503410602781782, 39898063449977239323, 1989371798838577172796, 105503454201101084456182, 5930110732782743218645271, 352151559724679309663946754"
852,A022567,FAIL,"1, 2, 3, 6, 9, 14, 22, 32, 46, 66, 93, 128, 176, 238, 319, 426, 562, 736, 960, 1242, 1598"
853,A052881,FAIL,"0, 0, 2, 9, 44, 250, 1644, 12348, 104544, 986256, 10265760, 116915040, 1446526080, 19323757440, 277238626560, 4251984710400, 69426608025600, 1202482800691200, 22021300630425600, 425162773111910400, 8631302936352768000"
854,A053492,FAIL,"0, 1, 2, 15, 184, 3155, 69516, 1871583, 59542064, 2185497819, 90909876100, 4226300379983, 217152013181544, 12219893000227107, 747440554689309404, 49374719534173925055, 3503183373320829575008, 265693897270211120103563, 21451116469521758657525748, 1836834997126650362708093679, 166273194780095833780767524120"
855,A052882,rooted ordered set partitions,"0, 1, 2, 9, 52, 375, 3246, 32781, 378344, 4912515, 70872610, 1124723193, 19471590876, 365190378735, 7376016877334, 159620144556645, 3684531055645648, 90366129593683035, 2346673806524446218, 64325158601880061137, 1856031746386568222660"
856,A052883,FAIL,"0, 0, 2, 18, 166, 1740, 20948, 287784, 4466712, 77539680, 1491571872, 31532466240, 727281881280, 18184495230720, 490130371249920, 14170353892047360, 437524311352665600, 14370793956158976000, 500382008375077785600, 18412184490011646566400, 713946584808220680806400"
857,A052884,FAIL,"0, 1, 2, 6, 20, 73, 278, 1106, 4519, 18908, 80530, 348144, 1523492, 6736163, 30046395, 135041458, 610954709, 2780185203, 12716659506, 58434130086, 269618874220"
858,A052885,FAIL,"0, 1, 4, 33, 424, 7445, 166176, 4505053, 143787904, 5282091081, 219531404800, 10184792907641, 521761503753216, 29254578504622237, 1781920872844693504, 117169936148978011125, 8272258025961978167296, 624121588298172211564817, 50114289007200431132246016, 4266972876474677154696855121, 384005224601954021508874240000"
859,A052886,FAIL,"0, 1, 3, 19, 207, 3211, 64383, 1581259, 45948927, 1541641771, 58645296063, 2494091717899, 117258952478847, 6038838138717931, 338082244882740543, 20443414320405268939, 1327850160592214291967, 92200405122521276427691, 6815359767190023358085823, 534337135055010788022858379, 44288342379983148877427260287"
860,A052887,FAIL,"1, 0, 2, 12, 84, 720, 7320, 85680, 1130640, 16571520, 266747040, 4673592000, 88476252480, 1798674958080, 39061703640960, 902110060051200, 22068313153286400, 569874634276147200, 15486794507222438400, 441703937156940057600, 13189422568491333964800"
861,A048802,FAIL,"0, 1, 3, 16, 133, 1521, 22184, 393681, 8233803, 198342718, 5408091155, 164658043397, 5537255169582, 203840528337291, 8153112960102283, 352079321494938344, 16325961781591781401, 809073412162081974237, 42674870241038732398720, 2386963662244981472850709, 141123109528983148638323591"
862,A035052,FAIL,"0, 1, 2, 5, 14, 42, 134, 444, 1518, 5318, 18989, 68856, 252901, 938847, 3517082, 13278844, 50475876, 193014868, 741963015, 2865552848, 11113696421"
863,A052888,FAIL,"0, 1, 3, 19, 189, 2576, 44683, 941977, 23388025, 668520163, 21622993111, 780789908240, 31135480907413, 1358965445353621, 64440211018897379, 3298807094967155971, 181322497435007616497, 10651131815012588324380, 665881649529214120845679, 44144097851022253967955749, 3093244677277056439737072141"
864,A035051,FAIL,"0, 1, 2, 12, 116, 1555, 26682, 558215, 13781448, 392209380, 12641850510, 455198725025, 18109373455164, 788854833679549, 37343190699472322, 1908871649888004240, 104789417805394595600, 6148562290130009617619, 384009458372082378549270, 25434942283949342232090739, 1780839523247012361249665220"
865,A052889,rooted set partitions,"0, 1, 2, 6, 20, 75, 312, 1421, 7016, 37260, 211470, 1275725, 8142840, 54776761, 387022118, 2863489830, 22127336720, 178162416499, 1491567656472, 12959459317021, 116654844101140"
866,A052890,FAIL,"1, 1, 2, 6, 16, 49, 153, 493, 1623, 5460, 18625, 64373, 224843, 792546, 2815443, 10070115, 36233440, 131063713, 476320360, 1738401482, 6368750019"
867,A052891,FAIL,"0, 1, 2, 5, 16, 56, 217, 876, 3686, 15903, 70103, 314042, 1426076, 6548060, 30352695, 141837086, 667469159, 3160370217, 15045244375, 71970393570, 345766441537"
868,A052892,FAIL,"0, 1, 3, 22, 269, 4606, 101407, 2728818, 86783769, 3184595686, 132443395091, 6156200036746, 316272966462565, 17795937622944846, 1088410048965734055, 71893314170319604066, 5100574859506418167601, 386824334429004242804086, 31229208329663841200670619, 2674006753623089888383955898, 242045993996438391558263442621"
869,A052893,FAIL,"1, 1, 3, 10, 37, 144, 589, 2483, 10746, 47420, 212668, 966324, 4439540, 20587286, 96237484, 453012296, 2145478716, 10215922013, 48877938369, 234862013473, 1132902329028"
870,A052894,FAIL,"1, 1, 5, 46, 631, 11586, 267369, 7442758, 242833091, 9090987610, 384209125453, 18096001098462, 939991769248239, 53388611049236386, 3291647968944928337, 218948960832551848438, 15629052780600654123739, 1191728692751208814306986, 96675526164560545405689141, 8313659739004791689038376206, 755468531016551135104649316935"
871,A052895,FAIL,"1, 1, 5, 43, 545, 9211, 195305, 4990483, 149371745, 5128125451, 198696086105, 8578228640323, 408387804764945, 21256203702751291, 1200890923560864905, 73191086773679576563, 4786857909878612350145, 334410103752029126714731, 24853489022020200940811705, 1958028830955159317959127203, 163000295631778250600197247345"
872,A052896,FAIL,"0, 0, 2, 12, 64, 350, 2024, 12460, 81638, 567888, 4180848, 32470834, 265219332, 2271692124, 20350705418, 190216812260, 1850993707960, 18714559108142, 196237054861920, 2130518566431620, 23912733627261670"
873,A052897,FAIL,"1, 2, 8, 44, 304, 2512, 24064, 261536, 3173888, 42483968, 621159424, 9841950208, 167879268352, 3065723549696, 59651093528576, 1231571119812608, 26883546193002496, 618463501807058944, 14952361500557443072, 378939905468222799872, 10043888585538266464256"
874,A052898,FAIL,"3, 3, 5, 13, 49, 241, 1441, 10081, 80641, 725761, 7257601, 79833601, 958003201, 12454041601, 174356582401, 2615348736001, 41845579776001, 711374856192001, 12804747411456001, 243290200817664001, 4865804016353280001"
875,A052899,FAIL,"1, 1, 5, 13, 45, 141, 461, 1485, 4813, 15565, 50381, 163021, 527565, 1707213, 5524685, 17878221, 57855181, 187223245, 605867213, 1960627405, 6344723661"
876,A052900,FAIL,"1, 0, 0, 3, 3, 3, 12, 21, 30, 66, 129, 219, 417, 804, 1461, 2712, 5124, 9507, 17643, 33015, 61536"
877,A020745,FAIL,"1, 2, 3, 5, 8, 12, 18, 27, 40, 59, 87, 128, 188, 276, 405, 594, 871, 1277, 1872, 2744, 4022"
878,A052901,FAIL,"3, 2, 2, 3, 2, 2, 3, 2, 2, 3, 2, 2, 3, 2, 2, 3, 2, 2, 3, 2, 2"
879,A018903,FAIL,"1, 5, 26, 136, 712, 3728, 19520, 102208, 535168, 2802176, 14672384, 76825600, 402264064, 2106281984, 11028635648, 57746685952, 302365573120, 1583206694912, 8289777876992, 43405840482304, 227275931385856"
880,A000225,FAIL,"1, 1, 1, 3, 3, 3, 7, 7, 7, 15, 15, 15, 31, 31, 31, 63, 63, 63, 127, 127, 127"
881,A052903,FAIL,"1, 2, 4, 8, 17, 36, 76, 161, 341, 722, 1529, 3238, 6857, 14521, 30751, 65121, 137906, 292042, 618454, 1309693, 2773522"
882,A052904,FAIL,"1, 1, 6, 12, 44, 112, 352, 976, 2912, 8320, 24384, 70400, 205056, 594176, 1726976, 5010432, 14552064, 42237952, 122642432, 356028416, 1033674752"
883,A005053,FAIL,"1, 3, 15, 75, 375, 1875, 9375, 46875, 234375, 1171875, 5859375, 29296875, 146484375, 732421875, 3662109375, 18310546875, 91552734375, 457763671875, 2288818359375, 11444091796875, 57220458984375"
884,A052905,FAIL,"1, 5, 10, 16, 23, 31, 40, 50, 61, 73, 86, 100, 115, 131, 148, 166, 185, 205, 226, 248, 271"
885,A052906,FAIL,"1, 3, 9, 30, 99, 327, 1080, 3567, 11781, 38910, 128511, 424443, 1401840, 4629963, 15291729, 50505150, 166807179, 550926687, 1819587240, 6009688407, 19848652461"
886,A024490,FAIL,"1, 0, 0, 0, 1, 2, 3, 4, 6, 10, 17, 28, 45, 72, 116, 188, 305, 494, 799, 1292, 2090"
887,A052907,FAIL,"1, 0, 2, 2, 4, 8, 12, 24, 40, 72, 128, 224, 400, 704, 1248, 2208, 3904, 6912, 12224, 21632, 38272"
888,A052908,FAIL,"1, 1, 2, 4, 9, 19, 40, 85, 180, 381, 807, 1709, 3619, 7664, 16230, 34370, 72785, 154136, 326412, 691239, 1463829"
889,A052909,FAIL,"1, 5, 16, 49, 148, 445, 1336, 4009, 12028, 36085, 108256, 324769, 974308, 2922925, 8768776, 26306329, 78918988, 236756965, 710270896, 2130812689, 6392438068"
890,A052910,FAIL,"1, 2, 4, 8, 18, 40, 88, 194, 428, 944, 2082, 4592, 10128, 22338, 49268, 108664, 239666, 528600, 1165864, 2571394, 5671388"
891,A052911,FAIL,"1, 2, 7, 21, 66, 205, 639, 1990, 6199, 19309, 60146, 187349, 583575, 1817782, 5662223, 17637301, 54938562, 171128541, 533049583, 1660400166, 5171992999"
892,A052912,FAIL,"1, 2, 4, 10, 24, 56, 132, 312, 736, 1736, 4096, 9664, 22800, 53792, 126912, 299424, 706432, 1666688, 3932224, 9277312, 21888000"
893,A007583,FAIL,"1, 3, 11, 43, 171, 683, 2731, 10923, 43691, 174763, 699051, 2796203, 11184811, 44739243, 178956971, 715827883, 2863311531, 11453246123, 45812984491, 183251937963, 733007751851"
894,A052913,FAIL,"1, 4, 18, 82, 374, 1706, 7782, 35498, 161926, 738634, 3369318, 15369322, 70107974, 319801226, 1458790182, 6654348458, 30354161926, 138462112714, 631602239718, 2881086973162, 13142230386374"
895,A010912,FAIL,"1, 0, 1, 3, 7, 16, 37, 86, 200, 465, 1081, 2513, 5842, 13581, 31572, 73396, 170625, 396655, 922111, 2143648, 4983377"
896,A052914,FAIL,"1, 0, 0, 1, 3, 1, 2, 7, 12, 10, 19, 41, 61, 76, 135, 240, 356, 521, 879, 1445, 2198"
897,A052915,FAIL,"1, 0, 1, 4, 2, 9, 20, 23, 64, 120, 193, 436, 797, 1452, 2978, 5513, 10456, 20547, 38608, 73984, 142865"
898,A006355,FAIL,"0, 2, 2, 4, 6, 10, 16, 26, 42, 68, 110, 178, 288, 466, 754, 1220, 1974, 3194, 5168, 8362, 13530"
899,A052916,FAIL,"1, 0, 0, 2, 1, 1, 5, 5, 6, 15, 20, 27, 51, 76, 110, 185, 286, 430, 690, 1077, 1651"
900,A052917,FAIL,"1, 3, 9, 27, 82, 249, 756, 2295, 6967, 21150, 64206, 194913, 591706, 1796268, 5453010, 16553943, 50253535, 152556873, 463123629, 1405924830, 4268028025"
901,A052918,FAIL,"1, 5, 26, 135, 701, 3640, 18901, 98145, 509626, 2646275, 13741001, 71351280, 370497401, 1923838285, 9989688826, 51872282415, 269351100901, 1398627786920, 7262490035501, 37711077964425, 195817879857626"
902,A052919,FAIL,"2, 3, 7, 19, 55, 163, 487, 1459, 4375, 13123, 39367, 118099, 354295, 1062883, 3188647, 9565939, 28697815, 86093443, 258280327, 774840979, 2324522935"
903,A052920,FAIL,"1, 0, 0, 1, 0, 1, 1, 0, 2, 1, 1, 3, 1, 3, 4, 2, 6, 5, 5, 10, 7"
904,A034943,FAIL,"1, 1, 2, 5, 12, 28, 65, 151, 351, 816, 1897, 4410, 10252, 23833, 55405, 128801, 299426, 696081, 1618192, 3761840, 8745217"
905,A052921,FAIL,"1, 2, 4, 9, 21, 49, 114, 265, 616, 1432, 3329, 7739, 17991, 41824, 97229, 226030, 525456, 1221537, 2839729, 6601569, 15346786"
906,A033113,FAIL,"1, 3, 10, 30, 91, 273, 820, 2460, 7381, 22143, 66430, 199290, 597871, 1793613, 5380840, 16142520, 48427561, 145282683, 435848050, 1307544150, 3922632451"
907,A052922,FAIL,"1, 0, 0, 2, 1, 0, 4, 4, 1, 8, 12, 6, 17, 32, 24, 40, 81, 80, 104, 202, 241"
908,A052923,FAIL,"1, 0, 4, 4, 20, 36, 116, 260, 724, 1764, 4660, 11716, 30356, 77220, 198644, 507524, 1302100, 3332196, 8540596, 21869380, 56031764"
909,A052924,FAIL,"1, 2, 7, 23, 76, 251, 829, 2738, 9043, 29867, 98644, 325799, 1076041, 3553922, 11737807, 38767343, 128039836, 422886851, 1396700389, 4612988018, 15235664443"
910,A052925,FAIL,"2, 2, 4, 9, 22, 56, 145, 378, 988, 2585, 6766, 17712, 46369, 121394, 317812, 832041, 2178310, 5702888, 14930353, 39088170, 102334156"
911,A020711,FAIL,"2, 2, 2, 3, 4, 5, 7, 10, 14, 20, 29, 42, 61, 89, 130, 190, 278, 407, 596, 873, 1279"
912,A052926,FAIL,"1, 1, 5, 18, 74, 299, 1216, 4941, 20083, 81625, 331760, 1348416, 5480549, 22275332, 90536629, 367980201, 1495631437, 6078896062, 24707275082, 100421102079, 408154995212"
913,A052927,FAIL,"1, 4, 16, 65, 264, 1072, 4353, 17676, 71776, 291457, 1183504, 4805792, 19514625, 79242004, 321773808, 1306609857, 5305681432, 21544499536, 87484608001, 355244113436, 1442520953280"
914,A052928,FAIL,"2, 2, 4, 4, 6, 6, 8, 8, 10, 10, 12, 12, 14, 14, 16, 16, 18, 18, 20, 20, 22"
915,A052929,FAIL,"2, 3, 10, 27, 82, 243, 730, 2187, 6562, 19683, 59050, 177147, 531442, 1594323, 4782970, 14348907, 43046722, 129140163, 387420490, 1162261467, 3486784402"
916,A052930,FAIL,"1, 0, 2, 4, 6, 18, 34, 74, 166, 346, 758, 1634, 3510, 7602, 16374, 35330, 76262, 164466, 354902, 765698, 1651910"
917,A052931,FAIL,"1, 0, 3, 1, 9, 6, 28, 27, 90, 109, 297, 417, 1000, 1548, 3417, 5644, 11799, 20349, 41041, 72846, 143472"
918,A052932,FAIL,"1, 1, 2, 4, 9, 18, 37, 76, 157, 323, 665, 1369, 2819, 5804, 11950, 24604, 50658, 104301, 214748, 442150, 910354"
919,A032908,FAIL,"2, 3, 6, 14, 35, 90, 234, 611, 1598, 4182, 10947, 28658, 75026, 196419, 514230, 1346270, 3524579, 9227466, 24157818, 63245987, 165580142"
